p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-395623.0,197.79607486724854
1,1437001,74324,28223, -Dqueueless=on ,-333730.0,389.29423213005066
4,320050,74016,77577, -Dqueueless=on ,-364378.0,567.0380160808563
2,7302284,39417,86516, -Dqueueless=off ,0.0,694.5997190475464
3,2977444,65799,28888, -Dqueueless=on ,0.0,831.4142007827759
3,3577595,93501,2683, -Dqueueless=on ,0.0,958.1684374809265
3,2970192,40317,30539, -Dqueueless=off ,0.0,1068.5684583187103
2,4783504,46424,20608, -Dqueueless=on ,0.0,1204.8517098426819
1,3934834,60379,6684, -Dqueueless=off ,-394482.0,1385.7252349853516
2,1047434,41529,92763, -Dqueueless=off ,-431484.0,1552.6783683300018
2,2563429,5367,95589, -Dqueueless=on ,-364665.0,1745.975245475769
1,4241631,65394,33317, -Dqueueless=on ,-348468.0,1945.9177505970001
4,5803633,21333,3891, -Dqueueless=on ,0.0,2071.981311559677
4,2473468,58755,45133, -Dqueueless=off ,0.0,2195.7710225582123
2,5122166,17305,14819, -Dqueueless=on ,0.0,2327.489329814911
3,2131338,96151,21542, -Dqueueless=on ,-358307.0,2527.2869436740875
4,5218230,75936,12239, -Dqueueless=on ,0.0,2665.295594215393
3,1871800,39998,49873, -Dqueueless=off ,-435831.0,2852.23424577713
3,2959691,29698,88233, -Dqueueless=off ,0.0,2966.1635568141937
2,7235136,39354,80547, -Dqueueless=on ,0.0,3098.176350593567
1,6209043,11295,43877, -Dqueueless=off ,-398490.0,3293.25475358963
2,7023865,88275,7422, -Dqueueless=on ,0.0,3434.720144033432
2,3711679,33306,4953, -Dqueueless=off ,-436212.0,3623.8639798164368
1,2070891,89974,84961, -Dqueueless=off ,-384571.0,3809.2467770576477
1,6672126,27342,40453, -Dqueueless=on ,-351355.0,3991.8612735271454
4,758406,81561,57847, -Dqueueless=off ,-423999.0,4189.011067390442
4,107156,49128,82214, -Dqueueless=off ,-270768.0,4397.857026100159
4,7752903,18602,64951, -Dqueueless=on ,0.0,4523.785305738449
4,1872361,72117,77863, -Dqueueless=off ,-420363.0,4691.702064275742
3,3211034,13629,42229, -Dqueueless=off ,0.0,4816.593896150589
1,4370842,31870,46814, -Dqueueless=on ,-349805.0,5022.200176715851
2,4049657,66151,80647, -Dqueueless=off ,-434885.0,5200.973926782608
3,6619267,50363,79964, -Dqueueless=off ,0.0,5319.23712849617
2,5499323,16669,38451, -Dqueueless=on ,0.0,5446.597500324249
4,2123740,86829,6101, -Dqueueless=on ,0.0,5567.925224781036
1,2913916,59646,33840, -Dqueueless=on ,-339172.0,5760.353848695755
4,3936187,79419,28541, -Dqueueless=on ,0.0,5896.679398775101
4,1278751,88293,53588, -Dqueueless=off ,-427013.0,6087.824791431427
4,1597023,38744,37715, -Dqueueless=off ,-431965.0,6267.946959972382
1,3282318,3898,97327, -Dqueueless=off ,-384422.0,6457.748740673065
1,6110242,10508,71208, -Dqueueless=off ,-397423.0,6654.097222566605
2,5833201,30451,39484, -Dqueueless=on ,0.0,6792.124782562256
3,6280588,88689,77627, -Dqueueless=on ,0.0,6924.698995351791
3,2909929,99089,85675, -Dqueueless=off ,0.0,7055.74728012085
2,2134627,58686,99740, -Dqueueless=off ,-427232.0,7243.322358131409
2,5127068,52090,29005, -Dqueueless=off ,0.0,7376.684915304184
3,967012,77227,52926, -Dqueueless=off ,-430163.0,7552.767761707306
2,5208004,64730,32920, -Dqueueless=on ,0.0,7666.197602510452
4,3418404,66329,81459, -Dqueueless=on ,0.0,7786.97492146492
2,3608448,33694,38903, -Dqueueless=on ,-362719.0,7970.152863264084
1,6307746,32736,8950, -Dqueueless=on ,-346363.0,8171.958294391632
2,2229571,2066,99612, -Dqueueless=off ,-433187.0,8346.793100833893
2,4263766,41756,6903, -Dqueueless=off ,0.0,8460.964190244675
3,6838197,49856,71122, -Dqueueless=off ,0.0,8596.218706130981
3,4196376,85480,52982, -Dqueueless=off ,0.0,8710.923475503922
3,793087,78100,38365, -Dqueueless=off ,-434547.0,8894.627856016159
2,6353865,21674,4838, -Dqueueless=off ,0.0,9027.84948015213
