p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-299085.0,130.47297406196594
1,1437001,74324,28223, -Dqueueless=on ,-269380.0,263.4656357765198
4,320050,74016,77577, -Dqueueless=on ,-295317.0,378.5321898460388
2,7302284,39417,86516, -Dqueueless=off ,-323513.0,505.03726077079773
3,2977444,65799,28888, -Dqueueless=on ,-296820.0,638.9258990287781
3,3577595,93501,2683, -Dqueueless=on ,-296464.0,785.9391779899597
3,2970192,40317,30539, -Dqueueless=off ,-343959.0,944.7849102020264
2,4783504,46424,20608, -Dqueueless=on ,-296379.0,1077.8619725704193
1,3934834,60379,6684, -Dqueueless=off ,-298863.0,1205.1226379871368
2,1047434,41529,92763, -Dqueueless=off ,-322100.0,1336.9908804893494
2,2563429,5367,95589, -Dqueueless=on ,-279789.0,1465.779197692871
1,4241631,65394,33317, -Dqueueless=on ,-271759.0,1594.9836814403534
4,5803633,21333,3891, -Dqueueless=on ,-296053.0,1710.7963252067566
4,2473468,58755,45133, -Dqueueless=off ,-334911.0,1852.582792520523
2,5122166,17305,14819, -Dqueueless=on ,-293928.0,1995.2882504463196
3,2131338,96151,21542, -Dqueueless=on ,-296250.0,2130.869241952896
4,5218230,75936,12239, -Dqueueless=on ,-293082.0,2273.7155051231384
3,1871800,39998,49873, -Dqueueless=off ,-336344.0,2403.483962535858
3,2959691,29698,88233, -Dqueueless=off ,-314760.0,2520.7272906303406
2,7235136,39354,80547, -Dqueueless=on ,-295125.0,2670.7898366451263
1,6209043,11295,43877, -Dqueueless=off ,-294410.0,2805.9516186714172
2,7023865,88275,7422, -Dqueueless=on ,-293241.0,2942.231287240982
2,3711679,33306,4953, -Dqueueless=off ,-336282.0,3074.6635327339172
1,2070891,89974,84961, -Dqueueless=off ,-296012.0,3215.086152791977
1,6672126,27342,40453, -Dqueueless=on ,-271225.0,3357.4658303260803
4,758406,81561,57847, -Dqueueless=off ,-323235.0,3487.167302131653
4,107156,49128,82214, -Dqueueless=off ,-233308.0,3622.4056413173676
4,7752903,18602,64951, -Dqueueless=on ,-293658.0,3740.6341478824615
4,1872361,72117,77863, -Dqueueless=off ,-309748.0,3870.3833026885986
3,3211034,13629,42229, -Dqueueless=off ,-334402.0,4019.9818167686462
1,4370842,31870,46814, -Dqueueless=on ,-274364.0,4157.080912351608
2,4049657,66151,80647, -Dqueueless=off ,-324430.0,4284.475333690643
3,6619267,50363,79964, -Dqueueless=off ,-325790.0,4424.023642063141
2,5499323,16669,38451, -Dqueueless=on ,-293378.0,4546.202518224716
4,2123740,86829,6101, -Dqueueless=on ,-295897.0,4686.1468205451965
1,2913916,59646,33840, -Dqueueless=on ,-270503.0,4809.097700357437
4,3936187,79419,28541, -Dqueueless=on ,-296291.0,4940.553781032562
4,1278751,88293,53588, -Dqueueless=off ,-330018.0,5098.19522023201
4,1597023,38744,37715, -Dqueueless=off ,-330322.0,5236.415792226791
1,3282318,3898,97327, -Dqueueless=off ,-280233.0,5358.247853279114
1,6110242,10508,71208, -Dqueueless=off ,-292016.0,5483.606662988663
2,5833201,30451,39484, -Dqueueless=on ,-297161.0,5611.042059183121
3,6280588,88689,77627, -Dqueueless=on ,-294811.0,5751.920003414154
3,2909929,99089,85675, -Dqueueless=off ,-327443.0,5901.414839029312
2,2134627,58686,99740, -Dqueueless=off ,-320650.0,6017.3223757743835
2,5127068,52090,29005, -Dqueueless=off ,-329661.0,6149.234071969986
3,967012,77227,52926, -Dqueueless=off ,-335686.0,6299.492982387543
2,5208004,64730,32920, -Dqueueless=on ,-297342.0,6427.026333093643
4,3418404,66329,81459, -Dqueueless=on ,-297017.0,6541.479105472565
2,3608448,33694,38903, -Dqueueless=on ,-295798.0,6698.366684913635
1,6307746,32736,8950, -Dqueueless=on ,-271254.0,6826.090090274811
2,2229571,2066,99612, -Dqueueless=off ,-266876.0,6963.02606844902
2,4263766,41756,6903, -Dqueueless=off ,-339429.0,7076.116514205933
3,6838197,49856,71122, -Dqueueless=off ,-328964.0,7197.801557064056
3,4196376,85480,52982, -Dqueueless=off ,-334827.0,7324.298644542694
3,793087,78100,38365, -Dqueueless=off ,-336570.0,7451.301410913467
2,6353865,21674,4838, -Dqueueless=off ,-337239.0,7592.998439073563
4,2767724,48027,36294, -Dqueueless=off ,-335741.0,7724.088006258011
4,2561455,40513,94449, -Dqueueless=off ,-304792.0,7863.732663631439
1,4230795,64699,9969, -Dqueueless=on ,-269516.0,7994.202204942703
3,2986637,97504,8194, -Dqueueless=on ,-297309.0,8116.036056995392
2,368019,46162,16396, -Dqueueless=off ,-329713.0,8267.672332048416
3,3289861,91504,12750, -Dqueueless=on ,-297527.0,8407.367321014404
1,4162279,21797,24973, -Dqueueless=on ,-270483.0,8541.196043252945
2,1200622,42269,45521, -Dqueueless=off ,-332688.0,8668.205212593079
1,2921098,27317,8755, -Dqueueless=on ,-271418.0,8794.073080062866
3,1349562,58241,84440, -Dqueueless=on ,-295566.0,8909.356370925903
1,2103768,43358,66604, -Dqueueless=off ,-298120.0,9034.50202512741
2,7434788,17493,98590, -Dqueueless=on ,-292486.0,9160.628984928131
2,4022325,85147,49810, -Dqueueless=off ,-331813.0,9301.685309171677
2,5940199,92855,15019, -Dqueueless=on ,-297487.0,9443.481519460678
2,5042180,2372,44747, -Dqueueless=on ,-260693.0,9562.406452417374
2,4186818,29906,51725, -Dqueueless=on ,-295318.0,9680.155406713486
1,4577959,76823,71006, -Dqueueless=on ,-270468.0,9801.693198680878
2,279286,52603,4013, -Dqueueless=on ,-287458.0,9921.503014326096
2,1482636,43855,76376, -Dqueueless=on ,-295245.0,10047.71433544159
1,5957713,39518,95235, -Dqueueless=on ,-270689.0,10180.7613863945
2,3840702,33435,90955, -Dqueueless=on ,-295608.0,10306.860565185547
3,118503,2027,29939, -Dqueueless=off ,-252652.0,10441.104090452194
4,5390556,76184,17655, -Dqueueless=on ,-295131.0,10583.691828250885
1,7309260,53978,97377, -Dqueueless=on ,-270976.0,10719.83782172203
3,2195465,73809,32371, -Dqueueless=off ,1000000,10806.238576173782
