p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-67920.9,115.31340909004211
1,1437001,74324,28223, -Dqueueless=on ,-72222.0,240.21231365203857
4,320050,74016,77577, -Dqueueless=on ,-70555.7,349.57172441482544
2,7302284,39417,86516, -Dqueueless=off ,-71807.5,477.4473989009857
3,2977444,65799,28888, -Dqueueless=on ,-72871.8,600.3250615596771
3,3577595,93501,2683, -Dqueueless=on ,-70987.5,717.4273755550385
3,2970192,40317,30539, -Dqueueless=off ,-73698.2,834.5998899936676
2,4783504,46424,20608, -Dqueueless=on ,-70630.1,951.1005232334137
1,3934834,60379,6684, -Dqueueless=off ,-75105.3,1069.4613392353058
2,1047434,41529,92763, -Dqueueless=off ,-70649.4,1181.4629156589508
2,2563429,5367,95589, -Dqueueless=on ,-59524.2,1308.6661570072174
1,4241631,65394,33317, -Dqueueless=on ,-69667.0,1421.3990597724915
4,5803633,21333,3891, -Dqueueless=on ,-68810.1,1542.0458209514618
4,2473468,58755,45133, -Dqueueless=off ,-71987.0,1649.2779762744904
2,5122166,17305,14819, -Dqueueless=on ,-69553.5,1768.6557459831238
3,2131338,96151,21542, -Dqueueless=on ,-71679.4,1886.2048926353455
4,5218230,75936,12239, -Dqueueless=on ,-71973.1,2000.2751653194427
3,1871800,39998,49873, -Dqueueless=off ,-73716.5,2122.270170211792
3,2959691,29698,88233, -Dqueueless=off ,-73112.6,2228.603791475296
2,7235136,39354,80547, -Dqueueless=on ,-72533.7,2341.075186729431
1,6209043,11295,43877, -Dqueueless=off ,-68420.4,2470.9288854599
2,7023865,88275,7422, -Dqueueless=on ,-69923.0,2588.6263201236725
2,3711679,33306,4953, -Dqueueless=off ,-77971.8,2712.619217634201
1,2070891,89974,84961, -Dqueueless=off ,-69776.0,2818.253579378128
1,6672126,27342,40453, -Dqueueless=on ,-69317.9,2922.381519317627
4,758406,81561,57847, -Dqueueless=off ,-75170.5,3032.9209022521973
4,107156,49128,82214, -Dqueueless=off ,-74225.5,3150.702086210251
4,7752903,18602,64951, -Dqueueless=on ,-68295.6,3283.157956123352
4,1872361,72117,77863, -Dqueueless=off ,-73508.7,3391.0882470607758
3,3211034,13629,42229, -Dqueueless=off ,-69607.7,3526.3132622241974
1,4370842,31870,46814, -Dqueueless=on ,-71317.1,3656.7080607414246
2,4049657,66151,80647, -Dqueueless=off ,-72583.1,3768.972948074341
3,6619267,50363,79964, -Dqueueless=off ,-71312.7,3885.2060565948486
2,5499323,16669,38451, -Dqueueless=on ,-69118.6,4022.3853754997253
4,2123740,86829,6101, -Dqueueless=on ,-65798.6,4143.420823097229
1,2913916,59646,33840, -Dqueueless=on ,-69916.3,4274.045913219452
4,3936187,79419,28541, -Dqueueless=on ,-71173.3,4393.350524663925
4,1278751,88293,53588, -Dqueueless=off ,-72079.5,4506.107282400131
4,1597023,38744,37715, -Dqueueless=off ,-71774.6,4638.977730989456
1,3282318,3898,97327, -Dqueueless=off ,-53781.7,4746.550140142441
1,6110242,10508,71208, -Dqueueless=off ,-62992.4,4857.367105960846
2,5833201,30451,39484, -Dqueueless=on ,-68964.0,4971.310042381287
3,6280588,88689,77627, -Dqueueless=on ,-67195.1,5096.2275178432465
3,2909929,99089,85675, -Dqueueless=off ,-74638.7,5215.041650295258
2,2134627,58686,99740, -Dqueueless=off ,-72541.2,5322.466459035873
2,5127068,52090,29005, -Dqueueless=off ,-73447.7,5430.162028551102
3,967012,77227,52926, -Dqueueless=off ,-74870.0,5538.645777225494
2,5208004,64730,32920, -Dqueueless=on ,-73061.2,5673.839290857315
4,3418404,66329,81459, -Dqueueless=on ,-72178.0,5794.295618057251
2,3608448,33694,38903, -Dqueueless=on ,-72504.2,5924.284450292587
1,6307746,32736,8950, -Dqueueless=on ,-69679.5,6033.393130064011
2,2229571,2066,99612, -Dqueueless=off ,-47702.5,6152.363243818283
2,4263766,41756,6903, -Dqueueless=off ,-77645.9,6266.657810926437
3,6838197,49856,71122, -Dqueueless=off ,-71722.8,6381.991117477417
3,4196376,85480,52982, -Dqueueless=off ,-73039.5,6502.4393222332
3,793087,78100,38365, -Dqueueless=off ,-74835.1,6623.679052591324
2,6353865,21674,4838, -Dqueueless=off ,-73738.2,6744.020369768143
4,2767724,48027,36294, -Dqueueless=off ,-71391.0,6856.893965005875
4,2561455,40513,94449, -Dqueueless=off ,-70559.8,6970.499089717865
1,4230795,64699,9969, -Dqueueless=on ,-70185.6,7075.029414653778
3,2986637,97504,8194, -Dqueueless=on ,-70942.5,7179.21493434906
2,368019,46162,16396, -Dqueueless=off ,-76468.1,7297.194091796875
3,3289861,91504,12750, -Dqueueless=on ,-71945.6,7419.453332662582
1,4162279,21797,24973, -Dqueueless=on ,-70782.5,7530.80782699585
2,1200622,42269,45521, -Dqueueless=off ,-72276.2,7650.685695886612
1,2921098,27317,8755, -Dqueueless=on ,-69243.7,7756.316660404205
3,1349562,58241,84440, -Dqueueless=on ,-72214.3,7887.447846651077
1,2103768,43358,66604, -Dqueueless=off ,-68449.9,8009.155770301819
2,7434788,17493,98590, -Dqueueless=on ,-70081.2,8126.845489740372
2,4022325,85147,49810, -Dqueueless=off ,-72701.1,8239.401998519897
2,5940199,92855,15019, -Dqueueless=on ,-73422.6,8356.611296415329
2,5042180,2372,44747, -Dqueueless=on ,-47636.9,8468.074225902557
2,4186818,29906,51725, -Dqueueless=on ,-70597.0,8587.16036605835
1,4577959,76823,71006, -Dqueueless=on ,-70474.5,8707.865764379501
2,279286,52603,4013, -Dqueueless=on ,-70573.6,8826.465077877045
2,1482636,43855,76376, -Dqueueless=on ,-72929.4,8947.620459318161
1,5957713,39518,95235, -Dqueueless=on ,-69969.3,9067.285439491272
2,3840702,33435,90955, -Dqueueless=on ,-72450.0,9183.084961891174
3,118503,2027,29939, -Dqueueless=off ,-47751.5,9295.719283103943
4,5390556,76184,17655, -Dqueueless=on ,-71257.5,9417.820279359818
1,7309260,53978,97377, -Dqueueless=on ,-72134.1,9532.392343759537
3,2195465,73809,32371, -Dqueueless=off ,-73284.4,9651.865196228027
4,4060712,23286,9073, -Dqueueless=off ,-75166.7,9783.502700090408
3,3612018,81823,84607, -Dqueueless=on ,-72504.0,9899.903528928757
2,4351498,68863,48412, -Dqueueless=on ,-73035.2,10016.015497684479
1,7992466,98992,70052, -Dqueueless=on ,-70048.1,10117.735597372055
3,3277977,90501,59918, -Dqueueless=on ,-70117.5,10234.841182947159
1,4858985,61650,44220, -Dqueueless=off ,-72559.5,10347.390922307968
4,1755415,78709,16294, -Dqueueless=off ,-74578.3,10469.73134303093
2,4567154,56768,47941, -Dqueueless=off ,-72617.5,10596.89217543602
3,2320838,62924,77459, -Dqueueless=on ,-70584.4,10703.355754613876
1,3220333,83828,21107, -Dqueueless=off ,1000000,10797.012646913528
