p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-2256.18,17.929277896881104
1,1437001,74324,28223, -Dqueueless=on ,-2478.28,32.43882870674133
4,320050,74016,77577, -Dqueueless=on ,-2810.98,45.73729157447815
2,7302284,39417,86516, -Dqueueless=off ,-2569.08,61.40846228599548
3,2977444,65799,28888, -Dqueueless=on ,-2499.61,77.38351678848267
3,3577595,93501,2683, -Dqueueless=on ,-2726.23,92.66586256027222
3,2970192,40317,30539, -Dqueueless=off ,-2362.87,105.9349684715271
2,4783504,46424,20608, -Dqueueless=on ,-2586.4,118.30199313163757
1,3934834,60379,6684, -Dqueueless=off ,-2356.9,130.04511213302612
2,1047434,41529,92763, -Dqueueless=off ,-2424.87,147.31028389930725
2,2563429,5367,95589, -Dqueueless=on ,-2423.27,160.62534356117249
1,4241631,65394,33317, -Dqueueless=on ,-2427.23,187.85025215148926
4,5803633,21333,3891, -Dqueueless=on ,-2483.3,203.52583026885986
4,2473468,58755,45133, -Dqueueless=off ,-2615.19,226.17298030853271
2,5122166,17305,14819, -Dqueueless=on ,-2566.24,244.22854590415955
3,2131338,96151,21542, -Dqueueless=on ,-2649.97,254.31998300552368
4,5218230,75936,12239, -Dqueueless=on ,-2661.9,267.6768546104431
3,1871800,39998,49873, -Dqueueless=off ,-2369.73,284.39599871635437
3,2959691,29698,88233, -Dqueueless=off ,-2734.3,304.6226489543915
2,7235136,39354,80547, -Dqueueless=on ,-2647.42,323.25490403175354
1,6209043,11295,43877, -Dqueueless=off ,-2137.14,346.12136006355286
2,7023865,88275,7422, -Dqueueless=on ,-2653.3,363.9451072216034
2,3711679,33306,4953, -Dqueueless=off ,-2522.25,377.8225402832031
1,2070891,89974,84961, -Dqueueless=off ,-2197.0,393.959374666214
1,6672126,27342,40453, -Dqueueless=on ,-2380.47,410.6225926876068
4,758406,81561,57847, -Dqueueless=off ,-2456.97,430.30927658081055
4,107156,49128,82214, -Dqueueless=off ,-2621.32,450.6527817249298
4,7752903,18602,64951, -Dqueueless=on ,-3074.77,467.15136528015137
4,1872361,72117,77863, -Dqueueless=off ,-2459.88,482.79692673683167
3,3211034,13629,42229, -Dqueueless=off ,-2118.63,497.4096522331238
1,4370842,31870,46814, -Dqueueless=on ,-2405.19,515.1893804073334
2,4049657,66151,80647, -Dqueueless=off ,-2566.55,529.6595373153687
3,6619267,50363,79964, -Dqueueless=off ,-2445.63,548.0054783821106
2,5499323,16669,38451, -Dqueueless=on ,-2477.43,565.3603863716125
4,2123740,86829,6101, -Dqueueless=on ,-2723.62,579.8006639480591
1,2913916,59646,33840, -Dqueueless=on ,-2505.99,593.0315999984741
4,3936187,79419,28541, -Dqueueless=on ,-3027.3,609.5985987186432
4,1278751,88293,53588, -Dqueueless=off ,-2586.4,630.0871455669403
4,1597023,38744,37715, -Dqueueless=off ,-2333.66,651.6480312347412
1,3282318,3898,97327, -Dqueueless=off ,-2053.01,666.2981088161469
1,6110242,10508,71208, -Dqueueless=off ,-2249.45,678.16579413414
2,5833201,30451,39484, -Dqueueless=on ,-2690.32,694.5409877300262
3,6280588,88689,77627, -Dqueueless=on ,-2535.67,711.7718243598938
3,2909929,99089,85675, -Dqueueless=off ,-2356.01,725.2007787227631
2,2134627,58686,99740, -Dqueueless=off ,-2466.31,744.031884431839
2,5127068,52090,29005, -Dqueueless=off ,-2307.07,760.0561554431915
3,967012,77227,52926, -Dqueueless=off ,-2306.03,776.7244277000427
