p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-290928.0,124.47229599952698
1,1437001,74324,28223, -Dqueueless=on ,-265448.0,251.86798429489136
4,320050,74016,77577, -Dqueueless=on ,-295824.0,357.91497468948364
2,7302284,39417,86516, -Dqueueless=off ,-316236.0,492.35239696502686
3,3577595,93501,2683, -Dqueueless=on ,-297873.0,626.2829015254974
2,4783504,46424,20608, -Dqueueless=on ,-292724.0,751.9825949668884
2,1047434,41529,92763, -Dqueueless=off ,-320415.0,896.2274506092072
1,3905381,41739,93616, -Dqueueless=on ,-267477.0,1024.1431922912598
2,1739069,36417,76457, -Dqueueless=off ,-321764.0,1153.3765041828156
3,1271694,18032,83976, -Dqueueless=off ,-321206.0,1293.4354372024536
1,857494,8464,86647, -Dqueueless=off ,-279199.0,1418.762048959732
2,1642366,21459,92080, -Dqueueless=off ,-316842.0,1572.1487531661987
2,2517162,11408,96048, -Dqueueless=off ,-310461.0,1698.6741962432861
4,2017998,2236,86339, -Dqueueless=off ,-242014.0,1841.5024375915527
2,1267854,27649,97470, -Dqueueless=off ,-317568.0,1977.693666934967
2,1649437,31508,93745, -Dqueueless=off ,-317256.0,2115.132350206375
2,1817410,8431,91854, -Dqueueless=off ,-304201.0,2243.795256614685
4,690788,14984,97518, -Dqueueless=off ,-288928.0,2400.9292488098145
2,1401210,26667,99839, -Dqueueless=off ,-315182.0,2536.3331201076508
2,1298235,35343,86253, -Dqueueless=off ,-320570.0,2683.7531242370605
2,1335914,27790,80661, -Dqueueless=off ,-319687.0,2818.1094222068787
2,993317,32180,82208, -Dqueueless=off ,-314592.0,2945.8185698986053
2,1251751,35078,74807, -Dqueueless=off ,-322949.0,3093.829916238785
4,1264708,35017,8099, -Dqueueless=off ,-342885.0,3236.061327934265
4,1256350,37181,28338, -Dqueueless=off ,-333673.0,3369.0897641181946
4,1470652,18024,70247, -Dqueueless=off ,-316283.0,3497.9276309013367
4,1131889,37461,26964, -Dqueueless=off ,-335161.0,3627.491715669632
4,1229283,39056,7365, -Dqueueless=on ,-296732.0,3775.25962638855
4,1133822,37646,32989, -Dqueueless=off ,-335416.0,3904.954827070236
1,1259708,33922,18073, -Dqueueless=off ,-294251.0,4066.0673768520355
4,284610,37381,6519, -Dqueueless=off ,-339889.0,4207.687609195709
4,1663283,37027,23531, -Dqueueless=off ,-333787.0,4362.813704252243
4,1693498,36196,27042, -Dqueueless=off ,-335228.0,4495.537771701813
4,450839,36904,20893, -Dqueueless=off ,-341867.0,4616.592217922211
4,370549,37144,6763, -Dqueueless=off ,-339001.0,4738.963316917419
4,1244299,34500,9289, -Dqueueless=off ,-338160.0,4877.511935472488
4,289522,34243,12898, -Dqueueless=off ,-338283.0,5002.937612056732
4,2855290,38068,6350, -Dqueueless=off ,-338061.0,5135.513254404068
4,455900,27731,2078, -Dqueueless=off ,-340444.0,5276.83597946167
4,260649,33472,4040, -Dqueueless=off ,-340729.0,5403.719628334045
4,407230,20911,11662, -Dqueueless=off ,-338998.0,5531.1443548202515
4,1115452,17969,9586, -Dqueueless=off ,-338515.0,5667.3431713581085
4,1514727,35748,7817, -Dqueueless=off ,-345901.0,5811.214166402817
4,1784221,34566,137, -Dqueueless=off ,-340132.0,5942.137147426605
4,2147565,35352,6307, -Dqueueless=off ,-341746.0,6080.416111469269
4,4199802,17767,4121, -Dqueueless=off ,-342199.0,6212.216086149216
4,3530793,35727,2738, -Dqueueless=off ,-340565.0,6346.039827346802
4,6546236,11170,5717, -Dqueueless=off ,-330469.0,6476.479153633118
4,2454600,15719,7144, -Dqueueless=off ,-336886.0,6612.376168012619
4,222805,11890,3556, -Dqueueless=off ,-328099.0,6745.42604637146
4,1631928,35749,4348, -Dqueueless=on ,-288814.0,6888.831057071686
4,5358685,35949,11688, -Dqueueless=off ,-348285.0,7004.695483446121
4,7854029,48470,8370, -Dqueueless=off ,-344327.0,7140.137534856796
4,5118578,98903,7961, -Dqueueless=off ,-338337.0,7278.400268793106
4,5687942,8495,15396, -Dqueueless=off ,-321745.0,7426.672412872314
4,5492159,64882,8347, -Dqueueless=off ,-343346.0,7547.925819396973
4,6212663,95488,12030, -Dqueueless=off ,-338076.0,7677.8512370586395
3,5398751,35117,10858, -Dqueueless=off ,-342261.0,7807.383886575699
1,5243900,36136,12648, -Dqueueless=off ,-293970.0,7938.079780578613
3,5262834,55963,8227, -Dqueueless=off ,-342389.0,8068.306750535965
3,6205343,40942,9360, -Dqueueless=off ,-338065.0,8197.842935800552
4,7293446,36131,4266, -Dqueueless=off ,-341816.0,8323.687336683273
3,5607585,49594,8346, -Dqueueless=off ,-340170.0,8445.352029323578
4,5396845,78736,31, -Dqueueless=off ,-339690.0,8592.50815320015
1,4339471,27916,8690, -Dqueueless=off ,-294107.0,8730.44935798645
4,5480551,59694,13565, -Dqueueless=off ,-342910.0,8875.6752846241
4,5415543,62250,14355, -Dqueueless=off ,-334233.0,9009.33386850357
4,2142656,7882,13599, -Dqueueless=off ,-327335.0,9102.533861160278
3,6428025,35941,8518, -Dqueueless=off ,-343546.0,9244.375707387924
3,2963740,36149,8388, -Dqueueless=off ,-339227.0,9380.869071245193
3,7293319,68712,4635, -Dqueueless=off ,-344301.0,9513.877381563187
3,6951169,35572,12200, -Dqueueless=off ,-346821.0,9647.45533490181
2,7006060,47401,8219, -Dqueueless=off ,-334090.0,9770.213936805725
3,7651980,24698,10267, -Dqueueless=off ,-339495.0,9898.033217668533
4,7498747,77553,4345, -Dqueueless=off ,-337346.0,10036.723954439163
3,6099932,35114,12542, -Dqueueless=off ,-346454.0,10193.778972864151
2,6330288,35752,11825, -Dqueueless=off ,-335767.0,10323.89616727829
3,7674802,33145,12611, -Dqueueless=off ,-342018.0,10464.274232625961
4,1704431,60682,12391, -Dqueueless=off ,-339133.0,10604.089573860168
3,6406825,51930,19286, -Dqueueless=off ,-345287.0,10757.17016530037
