p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-68612.4,129.71942734718323
1,1437001,74324,28223, -Dqueueless=on ,-71853.3,245.8595187664032
4,320050,74016,77577, -Dqueueless=on ,-72371.6,373.9545352458954
2,7302284,39417,86516, -Dqueueless=off ,-71725.1,495.20586109161377
3,3577595,93501,2683, -Dqueueless=on ,-73127.7,611.8222107887268
2,4783504,46424,20608, -Dqueueless=on ,-69867.5,747.2348785400391
3,7172149,85422,83835, -Dqueueless=on ,-71234.1,870.8810160160065
3,1821991,70571,36918, -Dqueueless=on ,-68405.4,996.8875994682312
3,3795994,88056,93605, -Dqueueless=on ,-72241.1,1110.7926833629608
4,3421222,88530,76797, -Dqueueless=on ,-71591.4,1217.068770647049
3,426178,97832,45125, -Dqueueless=on ,-72939.2,1335.8201894760132
4,2391868,88532,32747, -Dqueueless=off ,-74095.6,1447.944463968277
1,5955325,94912,9574, -Dqueueless=off ,-75756.6,1570.7139165401459
1,4817272,91757,59151, -Dqueueless=on ,-72281.6,1693.3236498832703
2,6324027,98622,11334, -Dqueueless=off ,-76642.7,1809.8103442192078
1,5442622,95253,15665, -Dqueueless=off ,-75266.9,1944.5318892002106
2,5231490,94551,9934, -Dqueueless=off ,-77490.5,2076.379736185074
1,7246247,94107,1086, -Dqueueless=off ,-76070.9,2212.691683769226
2,7892494,95172,12160, -Dqueueless=on ,-72928.7,2326.8634185791016
2,6533979,88547,1347, -Dqueueless=off ,-77328.5,2445.5695939064026
2,6762385,68601,6213, -Dqueueless=off ,-78152.1,2553.020882844925
2,7476835,27939,6292, -Dqueueless=off ,-76575.0,2669.055780649185
2,6883606,58124,7379, -Dqueueless=off ,-78104.4,2784.5721554756165
4,6160223,35488,5756, -Dqueueless=off ,-76484.2,2907.318753004074
2,7178329,43947,6233, -Dqueueless=on ,-72418.4,3032.1060602664948
3,6314379,22387,12198, -Dqueueless=off ,-75673.0,3148.4666364192963
2,7075883,63758,7079, -Dqueueless=off ,-77000.7,3296.2504212856293
2,6904566,73503,11545, -Dqueueless=off ,-77436.1,3412.370086669922
3,7420408,71233,11785, -Dqueueless=off ,-75739.4,3526.673857688904
2,6730743,50401,11395, -Dqueueless=off ,-76456.8,3635.0408461093903
2,1974211,61399,7016, -Dqueueless=off ,-78663.4,3748.1083550453186
2,4088316,67499,5084, -Dqueueless=off ,-78013.9,3872.3000288009644
3,1016576,64984,6493, -Dqueueless=off ,-77993.1,3989.8611850738525
1,589625,65908,710, -Dqueueless=off ,-75166.2,4124.064083576202
