p0,p1,p2,p3,p4,objective,elapsed_sec
1,5760000,55500,70000, -Dqueueless=off ,-395937.0,197.11321640014648
1,1440000,74300,28000, -Dqueueless=on ,-333181.0,386.99658012390137
4,320000,74000,78000, -Dqueueless=on ,-365851.0,569.3606336116791
2,7300000,39400,87000, -Dqueueless=off ,0.0,692.1785881519318
3,3580000,93500,3000, -Dqueueless=on ,0.0,814.1923062801361
2,4780000,46400,21000, -Dqueueless=on ,0.0,937.8448894023895
2,1050000,41500,93000, -Dqueueless=off ,-430576.0,1108.9181337356567
2,2180000,51100,91000, -Dqueueless=off ,-431846.0,1285.1127803325653
2,760000,51100,69000, -Dqueueless=off ,-430445.0,1462.7877230644226
1,330000,52100,71000, -Dqueueless=off ,-321433.0,1646.9014570713043
1,550000,51200,100000, -Dqueueless=off ,-344675.0,1845.7616109848022
4,750000,21300,97000, -Dqueueless=off ,-427782.0,2051.587557077408
4,840000,32100,94000, -Dqueueless=off ,-436752.0,2237.8942787647247
4,1100000,18500,98000, -Dqueueless=off ,-436390.0,2415.9750843048096
4,1090000,1300,95000, -Dqueueless=off ,-418641.0,2587.807314634323
4,1050000,24100,91000, -Dqueueless=off ,-435713.0,2786.502902984619
4,1120000,9900,99000, -Dqueueless=off ,-436850.0,2952.387894153595
4,1200000,13600,94000, -Dqueueless=off ,-431162.0,3131.9982702732086
4,1130000,5900,90000, -Dqueueless=off ,-432126.0,3290.101687669754
2,1220000,14000,90000, -Dqueueless=off ,-434733.0,3477.006663799286
4,1300000,22500,92000, -Dqueueless=off ,-437241.0,3652.1427161693573
4,1220000,13000,90000, -Dqueueless=off ,-435483.0,3826.428196668625
4,1280000,18300,97000, -Dqueueless=off ,-432607.0,4002.97287774086
4,1260000,19500,90000, -Dqueueless=off ,-437139.0,4183.458125591278
4,1330000,14100,90000, -Dqueueless=off ,-433983.0,4363.347099065781
4,1220000,18900,94000, -Dqueueless=on ,-366211.0,4558.735195875168
4,1210000,10100,91000, -Dqueueless=on ,-365105.0,4754.797471523285
4,1360000,12700,90000, -Dqueueless=off ,-434257.0,4926.4990339279175
1,1360000,38300,90000, -Dqueueless=off ,-374591.0,5109.515530347824
4,1260000,28000,86000, -Dqueueless=off ,-434562.0,5299.752574205399
3,1120000,24600,82000, -Dqueueless=off ,-433488.0,5478.859463453293
4,1170000,18100,79000, -Dqueueless=off ,-436827.0,5671.980051755905
4,1170000,16100,77000, -Dqueueless=off ,-437358.0,5849.675570726395
3,1170000,18100,75000, -Dqueueless=off ,-432336.0,6031.760786056519
3,990000,23400,73000, -Dqueueless=off ,-434485.0,6212.595002412796
4,1130000,32700,79000, -Dqueueless=off ,-429296.0,6380.724626302719
2,1010000,19200,83000, -Dqueueless=off ,-436426.0,6565.014650344849
4,900000,14800,74000, -Dqueueless=off ,-438147.0,6734.799196481705
3,970000,21000,72000, -Dqueueless=off ,-438597.0,6916.190215110779
2,1040000,20000,87000, -Dqueueless=off ,-427139.0,7113.607456684113
2,940000,18300,75000, -Dqueueless=off ,-434398.0,7307.895730257034
2,980000,18400,77000, -Dqueueless=off ,-425634.0,7487.320858001709
4,990000,22800,56000, -Dqueueless=off ,-433103.0,7665.635516643524
3,1140000,20600,68000, -Dqueueless=off ,-438941.0,7838.475202798843
3,870000,19500,46000, -Dqueueless=off ,-440985.0,8030.704084157944
3,870000,18800,64000, -Dqueueless=off ,-440603.0,8216.77893781662
3,930000,30500,57000, -Dqueueless=off ,-430737.0,8404.340550422668
4,980000,19600,59000, -Dqueueless=off ,-435027.0,8583.200727939606
4,830000,25700,13000, -Dqueueless=off ,-434228.0,8769.499890327454
4,1150000,15200,39000, -Dqueueless=off ,-429686.0,8948.429092884064
4,910000,17300,34000, -Dqueueless=off ,-434171.0,9125.070608377457
2,890000,22100,38000, -Dqueueless=off ,-433785.0,9311.212083339691
3,980000,21200,32000, -Dqueueless=off ,-438969.0,9496.478926897049
4,1180000,16500,32000, -Dqueueless=off ,-427859.0,9690.434594631195
3,800000,20100,27000, -Dqueueless=off ,-439411.0,9878.881904125214
4,840000,18400,29000, -Dqueueless=off ,-434507.0,10049.500877857208
3,810000,18100,31000, -Dqueueless=off ,-439453.0,10214.8299036026
4,820000,25700,27000, -Dqueueless=off ,-439373.0,10396.616805791855
3,880000,13600,14000, -Dqueueless=off ,-440016.0,10563.816927433014
3,870000,18000,8000, -Dqueueless=off ,-431887.0,10745.557886362076
4,1350000,20300,29000, -Dqueueless=off ,-426965.0,10939.322172164917
3,1350000,12400,45000, -Dqueueless=off ,-438307.0,11124.904434680939
3,1490000,14000,48000, -Dqueueless=off ,-438232.0,11306.971730470657
3,1650000,14200,84000, -Dqueueless=off ,-434350.0,11495.157169342041
4,1660000,16600,57000, -Dqueueless=off ,-435634.0,11705.874432563782
4,1580000,15000,82000, -Dqueueless=off ,-438055.0,11884.28061056137
4,1620000,14300,81000, -Dqueueless=off ,-431427.0,12061.539705514908
4,1610000,22100,62000, -Dqueueless=off ,-436783.0,12233.497877836227
3,1650000,15700,52000, -Dqueueless=off ,-432953.0,12426.486011505127
4,1760000,23500,69000, -Dqueueless=off ,-432031.0,12620.856380939484
3,1670000,13100,57000, -Dqueueless=off ,-431774.0,12805.656522274017
3,1670000,13000,17000, -Dqueueless=off ,-438091.0,12990.875124692917
3,900000,27500,20000, -Dqueueless=off ,-436985.0,13165.279251098633
4,1760000,18300,65000, -Dqueueless=off ,-430098.0,13342.789722919464
3,1750000,21400,73000, -Dqueueless=off ,-436992.0,13516.20767235756
4,1750000,19100,66000, -Dqueueless=off ,-438344.0,13699.840710878372
3,1800000,19600,83000, -Dqueueless=off ,-434716.0,13894.305432319641
3,1870000,19200,37000, -Dqueueless=off ,-438082.0,14086.25001001358
3,1790000,19700,20000, -Dqueueless=off ,-434331.0,14270.24326300621
3,1960000,19100,85000, -Dqueueless=off ,-438651.0,14452.922951698303
3,1910000,19500,71000, -Dqueueless=off ,-437947.0,14647.171410560608
3,1850000,19400,2000, -Dqueueless=off ,-438257.0,14828.325854539871
3,1970000,19400,9000, -Dqueueless=off ,-437795.0,14994.506450176239
3,1890000,22100,24000, -Dqueueless=off ,-438300.0,15189.408641815186
3,1950000,25900,21000, -Dqueueless=off ,-434797.0,15372.069432020187
3,1960000,20700,24000, -Dqueueless=off ,-437668.0,15561.573761940002
3,1960000,21600,85000, -Dqueueless=off ,-436623.0,15756.83142733574
3,2040000,22500,11000, -Dqueueless=off ,-434493.0,15936.152117967606
3,1980000,21600,8000, -Dqueueless=off ,-437176.0,16121.317948579788
4,1980000,19400,71000, -Dqueueless=off ,0.0,16256.607512235641
3,1950000,30900,19000, -Dqueueless=off ,-431795.0,16428.933460712433
4,1970000,32000,60000, -Dqueueless=off ,-428079.0,16612.548813819885
3,760000,20600,15000, -Dqueueless=off ,-440053.0,16786.456773757935
3,680000,23400,0, -Dqueueless=off ,-442179.0,16944.141543865204
3,630000,18700,29000, -Dqueueless=off ,-441284.0,17132.95411348343
3,730000,19400,22000, -Dqueueless=off ,-440879.0,17310.729107618332
3,730000,20200,12000, -Dqueueless=off ,-437965.0,17474.30380177498
3,700000,20900,47000, -Dqueueless=off ,-440013.0,17662.23270559311
3,1970000,15500,42000, -Dqueueless=off ,-436113.0,17835.88034248352
3,1970000,14300,32000, -Dqueueless=off ,-432676.0,18025.045104026794
3,610000,21900,8000, -Dqueueless=off ,-447526.0,18187.832598924637
3,700000,27600,18000, -Dqueueless=on ,-362630.0,18371.378084897995
3,450000,19000,10000, -Dqueueless=off ,-440574.0,18552.169775247574
3,340000,20900,6000, -Dqueueless=off ,-441291.0,18725.341171741486
3,440000,24000,7000, -Dqueueless=off ,-439969.0,18904.77015900612
3,590000,21500,0, -Dqueueless=off ,-445449.0,19077.35398221016
3,1970000,1500,59000, -Dqueueless=off ,-433510.0,19242.096334457397
4,1970000,24600,64000, -Dqueueless=off ,-434658.0,19432.292620420456
3,350000,27800,3000, -Dqueueless=off ,-442733.0,19592.05199074745
4,1970000,23100,87000, -Dqueueless=off ,-427439.0,19774.78716444969
3,490000,30600,0, -Dqueueless=off ,-444052.0,19952.27523803711
3,260000,32000,5000, -Dqueueless=off ,-428467.0,20113.343011379242
2,250000,27800,2000, -Dqueueless=off ,-399387.0,20308.574621915817
4,1970000,20900,15000, -Dqueueless=off ,-434857.0,20494.30189180374
4,1970000,14300,87000, -Dqueueless=off ,-430164.0,20672.008489608765
3,1970000,29700,83000, -Dqueueless=off ,-437651.0,20846.47759795189
2,1970000,19700,92000, -Dqueueless=off ,-426833.0,21031.434083223343
3,330000,15600,2000, -Dqueueless=off ,-438930.0,21203.70668363571
3,190000,24800,1000, -Dqueueless=off ,-422652.0,21382.326655864716
3,1970000,14300,79000, -Dqueueless=off ,-432857.0,21556.90923023224
3,2040000,24300,1000, -Dqueueless=off ,0.0,21603.748715400696
