p0,p1,p2,p3,p4,objective,elapsed_sec
1,5760000,55500,70000, -Dqueueless=off ,-75388.1,124.37838006019592
1,1440000,74300,28000, -Dqueueless=on ,-72033.1,246.05076098442078
4,320000,74000,78000, -Dqueueless=on ,-68827.8,359.7496123313904
2,7300000,39400,87000, -Dqueueless=off ,-75302.5,471.7026286125183
3,3580000,93500,3000, -Dqueueless=on ,-72983.8,580.1317203044891
2,4780000,46400,21000, -Dqueueless=on ,-69971.9,700.9807782173157
2,1050000,41500,93000, -Dqueueless=off ,-76028.4,811.5826828479767
3,7650000,57800,60000, -Dqueueless=off ,-73398.0,927.7202093601227
2,5000000,1700,68000, -Dqueueless=off ,-49040.1,1037.4573884010315
3,7700000,42600,70000, -Dqueueless=off ,-73496.2,1161.5566101074219
2,6840000,10700,99000, -Dqueueless=off ,-70423.5,1287.9768986701965
2,7400000,42500,94000, -Dqueueless=off ,-76138.9,1397.5720341205597
1,7420000,41700,94000, -Dqueueless=off ,-75061.8,1502.5665817260742
2,7260000,40700,93000, -Dqueueless=off ,-75668.3,1632.9858355522156
2,7370000,40600,95000, -Dqueueless=off ,-75388.9,1756.8024005889893
2,7100000,40900,77000, -Dqueueless=off ,-76594.1,1873.1736347675323
2,7680000,40100,79000, -Dqueueless=off ,-77146.1,1997.658852815628
2,7280000,14900,83000, -Dqueueless=off ,-71847.6,2118.8196568489075
4,7600000,39300,93000, -Dqueueless=off ,-72255.2,2227.383273601532
2,7200000,40000,39000, -Dqueueless=off ,-74970.8,2351.25013256073
1,4960000,40700,79000, -Dqueueless=off ,-74476.6,2464.413817882538
1,7350000,41600,45000, -Dqueueless=off ,-73728.6,2590.1129322052
2,7850000,39800,90000, -Dqueueless=off ,-75409.7,2723.2133724689484
2,5170000,40000,92000, -Dqueueless=off ,-75529.6,2850.719130039215
2,7920000,27000,89000, -Dqueueless=off ,-74442.2,2971.0641531944275
2,350000,40900,88000, -Dqueueless=off ,-75708.5,3099.692435503006
2,3460000,41100,95000, -Dqueueless=off ,-76119.0,3220.3371357917786
2,5080000,41000,70000, -Dqueueless=off ,-74869.0,3330.70205283165
2,4060000,41100,68000, -Dqueueless=off ,-73719.9,3443.946473121643
2,340000,39800,88000, -Dqueueless=off ,-76049.8,3564.9459459781647
2,380000,25800,87000, -Dqueueless=off ,-75234.8,3704.0661623477936
1,2250000,32700,96000, -Dqueueless=off ,-74464.9,3828.5016646385193
2,2960000,24200,86000, -Dqueueless=off ,-74980.0,3940.082175016403
2,3700000,24200,88000, -Dqueueless=off ,-74784.3,4049.458086013794
2,1480000,22200,99000, -Dqueueless=off ,-74732.6,4168.538362503052
2,160000,20000,94000, -Dqueueless=off ,-73829.7,4297.223746061325
1,430000,18700,88000, -Dqueueless=off ,-73108.3,4408.131294727325
2,2710000,19400,92000, -Dqueueless=off ,-73704.5,4520.562492132187
1,1480000,19600,86000, -Dqueueless=off ,-73555.6,4633.815755605698
2,4510000,19500,88000, -Dqueueless=off ,-73992.6,4747.567506790161
2,6840000,40300,67000, -Dqueueless=off ,-75943.1,4870.52345085144
1,4440000,19300,80000, -Dqueueless=off ,-72792.4,4991.4534907341
2,540000,18500,82000, -Dqueueless=off ,-72419.7,5105.054845094681
2,1150000,17900,94000, -Dqueueless=off ,-73979.4,5235.888267040253
1,1700000,17400,98000, -Dqueueless=off ,-72769.6,5355.083783149719
2,740000,17100,88000, -Dqueueless=off ,-73601.5,5485.211083889008
4,1180000,16700,99000, -Dqueueless=off ,-69508.4,5566.081650018692
2,4530000,17000,52000, -Dqueueless=off ,-73597.9,5687.584229469299
1,1990000,16900,48000, -Dqueueless=off ,-73261.9,5797.781938314438
2,720000,16400,63000, -Dqueueless=off ,-72770.8,5923.26620554924
2,530000,16200,64000, -Dqueueless=off ,-72466.3,6050.2391130924225
2,5900000,15800,55000, -Dqueueless=off ,-73073.8,6165.936289310455
2,6620000,15800,90000, -Dqueueless=off ,-65245.7,6277.898124217987
2,6950000,41800,85000, -Dqueueless=on ,-72696.5,6406.3822016716
2,910000,15900,35000, -Dqueueless=off ,-72765.9,6516.982322216034
2,2480000,16000,11000, -Dqueueless=off ,-72537.0,6637.256729125977
2,7870000,15700,29000, -Dqueueless=off ,-72586.8,6761.8637778759
1,260000,11400,51000, -Dqueueless=off ,-70880.2,6890.84481549263
1,3560000,13400,42000, -Dqueueless=off ,-71709.3,7038.484303236008
2,5670000,13500,28000, -Dqueueless=off ,-71508.6,7160.949813127518
2,910000,10000,11000, -Dqueueless=off ,-69284.0,7284.55059170723
2,7470000,77200,89000, -Dqueueless=off ,-76469.2,7415.820027828217
2,7480000,92800,86000, -Dqueueless=off ,-76287.7,7530.035897016525
4,7620000,53200,87000, -Dqueueless=off ,-72182.4,7648.021843671799
2,7910000,84100,82000, -Dqueueless=off ,-76929.4,7766.886987924576
