p0,p1,p2,p3,p4,objective,elapsed_sec
1,5760000,55500,70000, -Dqueueless=off ,-2331.11,19.283863067626953
1,1440000,74300,28000, -Dqueueless=on ,-2497.3,34.795708656311035
4,320000,74000,78000, -Dqueueless=on ,-2715.03,52.05929470062256
2,7300000,39400,87000, -Dqueueless=off ,-2436.48,67.92459273338318
3,3580000,93500,3000, -Dqueueless=on ,-2753.48,80.44827699661255
2,4780000,46400,21000, -Dqueueless=on ,-2661.92,98.10337257385254
3,7170000,85400,84000, -Dqueueless=on ,-2387.44,114.51998496055603
1,2250000,73600,36000, -Dqueueless=off ,-2342.75,130.51173567771912
4,1700000,89200,26000, -Dqueueless=on ,-2807.45,147.05533909797668
4,1110000,90700,22000, -Dqueueless=on ,-2922.18,163.79250311851501
4,690000,99200,26000, -Dqueueless=off ,-2496.39,185.8955202102661
4,6220000,99000,16000, -Dqueueless=on ,-2933.92,206.6823182106018
4,6710000,93700,14000, -Dqueueless=on ,-2670.28,223.06457424163818
4,2690000,87400,24000, -Dqueueless=on ,-2406.43,240.41271328926086
4,7990000,96600,21000, -Dqueueless=on ,-2929.15,258.466317653656
1,7300000,98500,20000, -Dqueueless=off ,-2259.25,276.3579189777374
4,7360000,92200,20000, -Dqueueless=on ,-2494.63,294.6448574066162
4,3360000,98500,21000, -Dqueueless=on ,-2610.6,317.198392868042
4,5860000,99200,2000, -Dqueueless=on ,-2450.9,332.2847354412079
4,140000,91500,21000, -Dqueueless=on ,-2719.18,348.3048574924469
4,7030000,89200,22000, -Dqueueless=on ,-2899.1,364.9869647026062
2,6910000,88700,23000, -Dqueueless=on ,-2516.82,389.4724199771881
4,6830000,90000,20000, -Dqueueless=on ,-2578.87,405.8313105106354
3,6340000,94200,21000, -Dqueueless=on ,-2387.62,419.0539152622223
4,7900000,93200,23000, -Dqueueless=on ,-2619.1,442.1728444099426
4,1590000,89200,21000, -Dqueueless=off ,-2413.36,463.3948423862457
4,7580000,97500,77000, -Dqueueless=on ,-3110.34,478.2856767177582
4,7800000,96700,85000, -Dqueueless=on ,-2410.3,494.1855208873749
4,7590000,98300,47000, -Dqueueless=on ,-3161.86,511.98544359207153
4,7600000,97900,57000, -Dqueueless=on ,-2617.99,535.3844978809357
4,7950000,99100,33000, -Dqueueless=on ,-2903.47,550.8928799629211
4,7520000,98500,23000, -Dqueueless=on ,-2448.18,570.3718662261963
4,7760000,99800,35000, -Dqueueless=on ,-2797.29,589.0971961021423
4,7900000,97200,51000, -Dqueueless=on ,-2520.24,599.8559794425964
4,7640000,98500,59000, -Dqueueless=on ,-2160.41,622.6206686496735
4,7590000,97600,75000, -Dqueueless=on ,-2900.27,640.4696605205536
4,7590000,98100,31000, -Dqueueless=off ,-2475.35,659.4403936862946
4,480000,97600,73000, -Dqueueless=on ,-2395.19,676.2099361419678
4,7590000,55200,46000, -Dqueueless=on ,-2699.93,692.1574075222015
1,7910000,98400,37000, -Dqueueless=on ,-2466.74,705.8785147666931
4,7570000,97700,96000, -Dqueueless=on ,-2462.41,725.5166001319885
4,7630000,97900,85000, -Dqueueless=on ,-2406.85,740.6933178901672
4,7590000,68100,78000, -Dqueueless=on ,-2369.42,756.7697417736053
1,7590000,97500,78000, -Dqueueless=on ,-2406.43,772.5127139091492
4,7580000,99100,46000, -Dqueueless=on ,-2922.06,790.9157543182373
4,2710000,98900,46000, -Dqueueless=on ,-2832.01,806.5436551570892
4,7070000,99600,46000, -Dqueueless=on ,-2831.19,820.890971660614
