p0,p1,p2,p3,p4,objective,elapsed_sec
1,576,56,70, -Dqueueless=off ,-394925.0,196.42717695236206
1,143,75,28, -Dqueueless=on ,-334067.0,376.81133556365967
4,32,74,78, -Dqueueless=on ,-364531.0,576.5461971759796
2,731,40,87, -Dqueueless=off ,0.0,711.1073327064514
3,358,94,2, -Dqueueless=on ,0.0,857.5260725021362
2,478,47,20, -Dqueueless=on ,0.0,983.3419895172119
2,104,42,93, -Dqueueless=off ,-430379.0,1168.5272040367126
2,218,52,92, -Dqueueless=off ,-422631.0,1351.8632173538208
2,76,52,70, -Dqueueless=off ,-428706.0,1532.838247537613
1,48,54,50, -Dqueueless=off ,-342468.0,1723.383812904358
4,238,12,92, -Dqueueless=off ,0.0,1848.856332063675
1,16,50,72, -Dqueueless=off ,-278741.0,2060.3422751426697
2,118,53,90, -Dqueueless=off ,-429628.0,2239.8633716106415
2,105,53,94, -Dqueueless=on ,-365207.0,2437.7044909000397
2,148,50,100, -Dqueueless=off ,-419043.0,2613.774380683899
3,114,51,100, -Dqueueless=on ,-358235.0,2807.4519288539886
2,132,49,95, -Dqueueless=off ,-421167.0,3000.2050445079803
2,162,52,86, -Dqueueless=off ,-425063.0,3155.424416542053
2,160,52,100, -Dqueueless=off ,-428321.0,3319.0981953144073
2,161,50,95, -Dqueueless=off ,-428023.0,3493.470407962799
2,150,21,97, -Dqueueless=off ,-427703.0,3672.3857910633087
3,161,49,95, -Dqueueless=off ,-432130.0,3860.7414603233337
2,160,1,90, -Dqueueless=off ,-395498.0,4024.9225997924805
2,161,6,100, -Dqueueless=off ,-422949.0,4198.005429029465
4,149,32,95, -Dqueueless=off ,-430180.0,4373.95676779747
2,164,17,97, -Dqueueless=off ,-428102.0,4558.940447807312
2,196,40,95, -Dqueueless=off ,-426709.0,4742.464084386826
3,161,40,95, -Dqueueless=off ,-433054.0,4913.951432943344
3,159,27,95, -Dqueueless=off ,-428197.0,5095.828835248947
3,161,21,97, -Dqueueless=off ,-428781.0,5292.756668329239
3,166,22,99, -Dqueueless=off ,-433186.0,5488.034463882446
3,175,35,99, -Dqueueless=off ,-433223.0,5669.3773074150085
3,185,42,95, -Dqueueless=off ,-432791.0,5853.665207624435
4,187,26,96, -Dqueueless=off ,-431346.0,6027.940258264542
4,201,16,94, -Dqueueless=off ,0.0,6149.969993591309
4,168,41,92, -Dqueueless=off ,-427978.0,6329.750362157822
4,170,47,96, -Dqueueless=off ,-421143.0,6506.359977722168
3,168,12,96, -Dqueueless=off ,-427872.0,6690.953809022903
3,189,27,98, -Dqueueless=off ,-433533.0,6873.373901844025
3,181,37,95, -Dqueueless=off ,-433373.0,7054.625490903854
4,172,39,93, -Dqueueless=off ,-422466.0,7235.2990663051605
3,185,26,98, -Dqueueless=off ,-429036.0,7415.465797424316
3,193,25,100, -Dqueueless=off ,-431810.0,7582.925203084946
3,175,18,95, -Dqueueless=off ,-429755.0,7765.459080696106
4,174,16,97, -Dqueueless=off ,-429899.0,7925.569145679474
2,193,28,99, -Dqueueless=off ,-428537.0,8098.511674165726
4,174,47,97, -Dqueueless=off ,-425100.0,8275.770658493042
3,192,15,92, -Dqueueless=off ,-432859.0,8452.236229658127
3,176,31,93, -Dqueueless=off ,-433327.0,8625.829830408096
3,190,19,90, -Dqueueless=off ,-434132.0,8810.537033081055
2,197,30,94, -Dqueueless=off ,-423638.0,8994.681116580963
3,187,19,94, -Dqueueless=off ,-431916.0,9184.974078893661
3,189,18,93, -Dqueueless=off ,-434682.0,9358.896245002747
3,194,20,85, -Dqueueless=off ,-428385.0,9549.418122291565
3,197,27,97, -Dqueueless=off ,-431494.0,9732.4951608181
3,196,25,89, -Dqueueless=off ,-429356.0,9911.258670091629
4,177,28,87, -Dqueueless=off ,-430852.0,10093.991941452026
3,181,26,87, -Dqueueless=off ,-433226.0,10279.484590530396
3,180,37,87, -Dqueueless=off ,-432330.0,10459.803084373474
3,183,37,87, -Dqueueless=off ,-433303.0,10654.372896194458
3,187,14,96, -Dqueueless=off ,-429801.0,10840.158372163773
4,198,42,98, -Dqueueless=off ,0.0,10974.36678647995
3,185,23,87, -Dqueueless=off ,-432308.0,11170.063799142838
3,184,21,84, -Dqueueless=off ,-434423.0,11373.856028318405
4,197,31,96, -Dqueueless=off ,-432195.0,11536.44355583191
3,182,14,88, -Dqueueless=off ,-429481.0,11724.67221212387
4,187,23,84, -Dqueueless=off ,-426832.0,11927.370938539505
3,192,18,82, -Dqueueless=off ,-435873.0,12111.650373458862
4,197,20,98, -Dqueueless=off ,-431732.0,12286.699667215347
4,197,5,94, -Dqueueless=off ,-426410.0,12456.485820531845
4,181,25,86, -Dqueueless=off ,-432827.0,12621.53760766983
4,175,28,92, -Dqueueless=off ,-427258.0,12802.012903928757
3,197,14,90, -Dqueueless=off ,-434171.0,12981.806365251541
4,180,18,100, -Dqueueless=off ,-428277.0,13168.254781961441
4,186,19,88, -Dqueueless=off ,-429547.0,13347.572266817093
3,177,14,85, -Dqueueless=off ,-430487.0,13525.877811908722
3,180,20,83, -Dqueueless=off ,-435269.0,13704.215322494507
4,184,9,86, -Dqueueless=off ,-430377.0,13887.532995939255
3,188,30,83, -Dqueueless=off ,-433792.0,14060.79940533638
3,171,15,82, -Dqueueless=off ,-426214.0,14230.118129491806
3,179,17,97, -Dqueueless=off ,-432270.0,14410.940329551697
2,192,47,99, -Dqueueless=off ,-426943.0,14586.680134057999
3,187,25,82, -Dqueueless=off ,-435453.0,14759.25856590271
4,178,43,81, -Dqueueless=off ,-426314.0,14943.96604180336
3,172,15,93, -Dqueueless=off ,-432552.0,15116.366836071014
3,181,27,81, -Dqueueless=off ,-433865.0,15300.394191980362
3,197,13,87, -Dqueueless=off ,-430843.0,15476.073088645935
4,175,40,94, -Dqueueless=off ,-423324.0,15646.742254018784
2,183,17,90, -Dqueueless=off ,-429340.0,15824.426201105118
2,191,38,82, -Dqueueless=off ,-423532.0,16004.349505186081
3,196,31,81, -Dqueueless=off ,-434031.0,16197.907242536545
3,178,23,81, -Dqueueless=off ,-433280.0,16384.276252746582
2,182,18,80, -Dqueueless=off ,-423375.0,16568.20383787155
3,178,21,80, -Dqueueless=off ,-433689.0,16743.67295575142
3,197,34,81, -Dqueueless=off ,-431779.0,16908.88677597046
2,166,20,86, -Dqueueless=off ,-423231.0,17087.89642739296
3,184,24,79, -Dqueueless=off ,-435557.0,17274.829436063766
4,158,14,83, -Dqueueless=off ,-436733.0,17471.36875462532
4,174,16,95, -Dqueueless=off ,-431917.0,17657.25208425522
3,134,14,80, -Dqueueless=off ,-433927.0,17826.004210472107
2,195,46,93, -Dqueueless=off ,-430007.0,17993.299973726273
3,177,38,79, -Dqueueless=off ,-430592.0,18152.665565013885
4,197,13,91, -Dqueueless=off ,-425741.0,18346.191558361053
4,197,27,92, -Dqueueless=off ,-427534.0,18534.463184833527
3,194,49,85, -Dqueueless=off ,-428778.0,18710.95363163948
2,185,15,79, -Dqueueless=off ,-429727.0,18895.29022049904
3,181,38,79, -Dqueueless=off ,-427051.0,19092.166970014572
3,129,40,90, -Dqueueless=off ,-431858.0,19263.421339035034
3,178,23,79, -Dqueueless=off ,-434948.0,19428.193323135376
4,184,15,79, -Dqueueless=off ,-433968.0,19603.54533958435
4,123,40,87, -Dqueueless=off ,-431093.0,19780.10621523857
3,149,31,79, -Dqueueless=off ,-430690.0,19965.37156534195
3,197,41,84, -Dqueueless=off ,-432950.0,20138.8169734478
4,197,12,97, -Dqueueless=off ,-432569.0,20306.563565969467
4,197,15,87, -Dqueueless=off ,-427250.0,20481.126248836517
4,170,16,79, -Dqueueless=off ,-424931.0,20662.59845662117
3,197,46,99, -Dqueueless=off ,-429900.0,20849.283448934555
4,196,47,83, -Dqueueless=off ,-427122.0,21010.36970806122
4,192,40,88, -Dqueueless=off ,-424039.0,21201.008328437805
3,135,21,79, -Dqueueless=off ,-432529.0,21382.527492523193
4,197,21,93, -Dqueueless=off ,-430222.0,21580.30425953865
2,175,41,80, -Dqueueless=off ,0.0,21595.544140577316
