p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-394817.0,195.1809265613556
1,1437001,74324,28223, -Dqueueless=on ,-334019.0,383.7267417907715
4,320050,74016,77577, -Dqueueless=on ,-365758.0,563.5777471065521
2,7302284,39417,86516, -Dqueueless=off ,0,695.5953860282898
3,3577595,93501,2683, -Dqueueless=on ,0,820.1839842796326
2,4783504,46424,20608, -Dqueueless=on ,0,945.2742762565613
2,1047434,41529,92763, -Dqueueless=off ,-421536.0,1142.2157864570618
2,2180438,51139,91136, -Dqueueless=off ,-436058.0,1327.361409187317
2,763611,51074,69350, -Dqueueless=off ,-429793.0,1500.2804789543152
1,327956,52138,71158, -Dqueueless=off ,-318585.0,1699.5458669662476
4,577133,50668,79625, -Dqueueless=off ,-434490.0,1877.897643327713
1,307470,50340,90796, -Dqueueless=off ,-320259.0,2055.115956544876
2,732412,8027,81479, -Dqueueless=off ,-423792.0,2234.569712638855
4,845941,39097,82714, -Dqueueless=off ,-431664.0,2399.226803302765
4,790078,26003,83999, -Dqueueless=off ,-428236.0,2575.0313954353333
3,887082,28630,82730, -Dqueueless=off ,-439273.0,2749.1871933937073
4,951986,32361,81781, -Dqueueless=off ,-435005.0,2939.5998706817627
4,1147187,4294,82169, -Dqueueless=off ,-431158.0,3113.0442440509796
3,869497,29220,82249, -Dqueueless=off ,-433914.0,3299.338381052017
4,1099939,13230,83428, -Dqueueless=off ,-431088.0,3471.7038745880127
3,863210,34470,84692, -Dqueueless=off ,-438509.0,3657.789982318878
3,909337,10784,93425, -Dqueueless=off ,-438013.0,3849.0566096305847
4,1111720,35100,85126, -Dqueueless=off ,-433991.0,4026.2540788650513
3,846511,17993,99986, -Dqueueless=off ,-435568.0,4192.035898447037
3,977289,2154,90786, -Dqueueless=off ,-433065.0,4371.7291395664215
3,1193618,7670,86565, -Dqueueless=off ,-436546.0,4545.0351305007935
3,889031,21065,97294, -Dqueueless=on ,-366381.0,4724.896277666092
3,1249123,14722,81970, -Dqueueless=off ,-437622.0,4912.971465349197
3,1316817,27381,82014, -Dqueueless=off ,-435128.0,5089.018377542496
3,1364893,2695,84550, -Dqueueless=off ,-442974.0,5264.500112295151
3,1270031,27904,83447, -Dqueueless=off ,-435717.0,5427.591248512268
4,1340961,14255,85390, -Dqueueless=off ,-428195.0,5621.375767707825
2,955514,36652,83157, -Dqueueless=off ,-423108.0,5812.558095932007
3,1296206,19817,81513, -Dqueueless=off ,-437229.0,5986.390318155289
3,1654980,12445,86824, -Dqueueless=off ,-432301.0,6167.504943609238
3,1431294,32693,81540, -Dqueueless=off ,-436610.0,6357.618734359741
3,1695408,2499,83380, -Dqueueless=off ,-437351.0,6549.245382070541
3,1799766,19693,82299, -Dqueueless=off ,-435612.0,6728.763935089111
3,1564180,8846,82537, -Dqueueless=off ,-433313.0,6918.887668609619
3,1959871,18479,84061, -Dqueueless=off ,-433432.0,7099.628292560577
4,1751708,20143,85715, -Dqueueless=off ,-431141.0,7273.285425901413
3,1880917,30999,85842, -Dqueueless=off ,-430319.0,7445.497260570526
3,1887260,21967,82549, -Dqueueless=off ,-428054.0,7632.848459005356
3,1997645,1295,79678, -Dqueueless=off ,-418416.0,7818.157923460007
3,2014451,26507,83714, -Dqueueless=off ,-434007.0,8011.128219366074
