p0,p1,p2,p3,p4,objective,elapsed_sec
1,5761837,55472,69980, -Dqueueless=off ,-2271.25,15.353558778762817
1,1437001,74324,28223, -Dqueueless=on ,-2534.34,31.50320553779602
4,320050,74016,77577, -Dqueueless=on ,-2963.6,46.755289793014526
2,7302284,39417,86516, -Dqueueless=off ,-2539.92,62.99678444862366
3,3577595,93501,2683, -Dqueueless=on ,-2560.06,79.12172436714172
2,4783504,46424,20608, -Dqueueless=on ,-2626.11,92.55533289909363
3,7172149,85422,83835, -Dqueueless=on ,-2109.42,108.34505701065063
2,1321816,69322,82297, -Dqueueless=on ,-2469.46,120.20973944664001
1,1120049,71996,79411, -Dqueueless=on ,-2430.26,134.85922265052795
4,210189,87792,77127, -Dqueueless=on ,-2538.84,151.50959825515747
4,794513,73783,72276, -Dqueueless=on ,-2502.91,164.5947620868683
2,690618,83963,78306, -Dqueueless=off ,-2409.06,180.57421135902405
4,353820,91893,75589, -Dqueueless=off ,-2346.5,197.95813870429993
4,1161256,74042,77809, -Dqueueless=on ,-2742.48,217.1473467350006
4,6107380,74018,89632, -Dqueueless=on ,-3191.69,232.42111158370972
4,6003056,74014,99814, -Dqueueless=on ,-2403.93,253.6555140018463
4,5876778,76821,86646, -Dqueueless=on ,-2887.96,268.1753854751587
4,6274057,74030,94292, -Dqueueless=off ,-2253.0,284.05990409851074
4,4211052,74158,94263, -Dqueueless=on ,-2602.37,305.9216458797455
4,5970530,74098,79842, -Dqueueless=on ,-3099.7,323.910840511322
4,5946477,76456,88009, -Dqueueless=on ,-3120.26,337.97293424606323
4,6308679,76255,79064, -Dqueueless=on ,-2603.1,358.4466030597687
4,5995330,74286,84625, -Dqueueless=on ,-2826.73,369.69159173965454
4,6638059,79947,88750, -Dqueueless=on ,-2939.07,387.505934715271
4,6951310,81615,86648, -Dqueueless=on ,-2748.64,409.86643242836
4,5934053,74078,90083, -Dqueueless=off ,-2526.21,430.0662498474121
4,5982430,29620,87962, -Dqueueless=on ,-2432.17,446.75976300239563
4,6363900,82228,87574, -Dqueueless=on ,-2867.02,464.0899736881256
4,6965760,76135,88679, -Dqueueless=on ,-3029.92,483.0513734817505
