p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
13,192,192,192,512,512,768,-47.583899222517466,420.50643730163574
28,192,128,0,768,384,192,-47.88076846900376,841.4321675300598
10,256,64,128 ,128,384,768,-31.455337974107085,1330.8641333580017
60,0,0,0,384,384,384,-36.033686093307495,1878.6394543647766
40,64,128,64,512,384,768,-45.04378610024222,2330.5205619335175
36,128,256,128 ,384,128,192,-46.97823552273611,2766.147449493408
12,64,128,64,128,192,512,-46.16192476608746,3192.4625375270844
1,64,128,64,768,768,128,-6.884522283924249,5011.464234113693
14,64,128,64,192,768,384,-48.061630218687874,5441.113330364227
21,64,128,192,768,768,192,-47.31845762380113,5849.122232437134
25,64,128,192,768,192,192,-47.06054117189021,6277.642966508865
24,64,128,64,512,128,192,-49.252302175861786,6694.730387926102
25,64,128,64,768,768,192,-49.18266247571383,7111.493187189102
17,64,128,128 ,1024,768,192,-50.27032647119983,7521.930235147476
21,64,192,192,768,768,192,-47.383379067032536,7947.744354009628
14,64,128,128 ,128,768,192,-46.15751789976134,8384.263653755188
8,64,128,64,512,1024,192,-46.49038461538461,8826.373775720596
17,64,0,64,768,768,192,-49.72949622528953,9228.349903345108
13,0,192,64,768,768,192,-50.49344681739857,9646.511750936508
19,64,64,64,768,768,192,-49.530307221078296,10057.245739936829
13,256,0,256,768,768,192,-40.71921846050194,10495.058462142944
12,128,256,64,256,1024,192,-46.41451473552846,10920.728892326355
12,128,192,64,768,768,192,-49.21169681116348,11328.596651315689
12,0,256,64,256,512,192,-47.79084708905802,11742.271679878235
12,256,192,64,768,512,192,-42.05444898669218,12183.157784700394
19,128,192,64,768,768,512,-49.93957672722766,12583.466419696808
17,192,256,64,768,768,384,-48.99328178990141,12993.708260774612
18,64,192,64,768,768,256,-49.38662526429761,13416.449151992798
18,128,64,64,768,768,384,-50.1904850881837,13828.724489212036
12,192,64,64,768,768,384,-48.147779326827326,14247.1211206913
18,128,256,64,768,768,768,-50.550461593149805,14649.002445936203
18,192,64,64,768,768,1024,-48.692306917630944,15066.273972988129
10,0,192,64,768,768,1024,-50.726538320306354,15472.168766498566
17,128,128,64,192,768,768,-47.63077529307457,15895.981672286987
12,128,256,64,256,768,128,-45.369240874542555,16334.054798841476
16,128,128,64,768,768,256,-49.69882614147976,16749.525311231613
19,64,256,64,768,768,384,-50.08598006919841,17165.973217010498
12,64,256,128 ,768,768,768,-50.170173909434276,17589.357612371445
12,0,192,256,768,768,256,-48.11424022290775,18003.010407686234
12,0,128,64,768,768,1024,-51.57883507574142,18409.32949757576
13,192,128,64,768,768,128,-47.673042792348646,18838.956316947937
12,128,128,64,768,768,384,-49.97106122617719,19259.731515407562
30,64,256,64,768,768,128,-47.79557137208383,19685.14850139618
11,0,128,64,768,768,384,-50.7041958115293,20106.428580760956
19,0,128,64,512,768,128,-50.18683828108781,20515.3962392807
16,0,128,128 ,768,768,128,-51.28993932193321,20929.382103204727
11,0,0,64,768,768,1024,-50.88563099234874,21335.050315380096
19,0,64,128 ,768,768,128,0.0,21599.230033159256
